RGP - count-left-right.py
3328
 3398co2     Co  406   0.707   1.856  30.035    2
 3398co2     Oc  407   0.590   1.863  30.025    2
 3398co2     Oc  408   0.816   1.834  30.054    2
 3399co2     Co  409   3.354   0.241  23.387    2
 3399co2     Oc  410   3.405   0.311  23.465    2
 3399co2     Oc  411   3.286   0.162  23.331    2
 3400co2     Co  412   2.668   0.142  43.613    0
 3400co2     Oc  413   2.685   0.039  43.557    0
 3400co2     Oc  414   2.653   0.247  43.653    0
 3401co2     Co  415   0.315   4.460  28.872    2
 3401co2     Oc  416   0.310   4.455  28.759    2
 3401co2     Oc  417   0.314   4.462  28.984    2
 3402co2     Co  418   2.897   3.383  31.693    0
 3402co2     Oc  419   2.782   3.348  31.692    0
 3402co2     Oc  420   3.005   3.429  31.691    0
 3403co2     Co  421   1.496   1.858  31.061    2
 3403co2     Oc  422   1.417   1.852  31.148    2
 3403co2     Oc  423   1.576   1.851  30.980    2
 3404co2     Co  424   2.148   3.413  19.069    1
 3404co2     Oc  425   2.075   3.427  19.157    1
 3404co2     Oc  426   2.224   3.405  18.974    1
 3405co2     Co  427   3.606   1.830  18.233    1
 3405co2     Oc  428   3.584   1.802  18.127    1
 3405co2     Oc  429   3.654   1.848  18.336    1
 3406co2     Co  430   1.062   0.933   2.912    0
 3406co2     Oc  431   1.055   1.044   2.938    0
 3406co2     Oc  432   1.061   0.823   2.878    0
 3407co2     Co  433   0.718   4.185  42.992    0
 3407co2     Oc  434   0.663   4.139  42.901    0
 3407co2     Oc  435   0.783   4.226  43.073    0
 3408co2     Co  436   2.380   1.855  30.774    2
 3408co2     Oc  437   2.353   1.871  30.665    2
 3408co2     Oc  438   2.406   1.818  30.878    2
 3409co2     Co  439   0.807   3.005   8.830    0
 3409co2     Oc  440   0.853   2.915   8.775    0
 3409co2     Oc  441   0.785   3.099   8.884    0
 3410co2     Co  442   2.606   4.176  17.862    1
 3410co2     Oc  443   2.494   4.198  17.830    1
 3410co2     Oc  444   2.719   4.151  17.891    1
 3411co2     Co  445   2.105   3.416  31.536    0
 3411co2     Oc  446   1.994   3.404  31.501    0
 3411co2     Oc  447   2.214   3.425  31.576    0
 3412co2     Co  448   0.468   1.152  44.874    0
 3412co2     Oc  449   0.537   1.240  44.837    0
 3412co2     Oc  450   0.411   1.052  44.898    0
 3413co2     Co  451   1.479   4.374  36.326    0
 3413co2     Oc  452   1.528   4.369  36.225    0
 3413co2     Oc  453   1.445   4.388  36.431    0
 3414co2     Co  454   0.637   4.087  33.094    0
 3414co2     Oc  455   0.659   4.008  33.012    0
 3414co2     Oc  456   0.621   4.178  33.162    0
 3415co2     Co  457   0.355   1.843  31.537    0
 3415co2     Oc  458   0.411   1.800  31.627    0
 3415co2     Oc  459   0.293   1.881  31.445    0
 3416co2     Co  460   3.039   1.052   6.686    0
 3416co2     Oc  461   2.939   1.024   6.629    0
 3416co2     Oc  462   3.128   1.090   6.744    0
 3417co2     Co  463   2.784   3.532  28.535    2
 3417co2     Oc  464   2.776   3.517  28.647    2
 3417co2     Oc  465   2.780   3.545  28.418    2
 3418co2     Co  466   2.182   4.141  31.640    0
 3418co2     Oc  467   2.132   4.158  31.534    0
 3418co2     Oc  468   2.215   4.129  31.747    0
 3419co2     Co  469   2.957   1.405  22.626    0
 3419co2     Oc  470   2.865   1.339  22.656    0
 3419co2     Oc  471   3.053   1.446  22.576    0
 3420co2     Co  472   0.621   2.476  29.099    2
 3420co2     Oc  473   0.657   2.439  29.204    2
 3420co2     Oc  474   0.595   2.526  28.996    2
 3421co2     Co  475   2.595   0.427  14.885    0
 3421co2     Oc  476   2.660   0.512  14.929    0
 3421co2     Oc  477   2.545   0.331  14.840    0
 3422co2     Co  478   1.079   1.937  21.894    0
 3422co2     Oc  479   1.050   1.980  21.994    0
 3422co2     Oc  480   1.101   1.896  21.788    0
 3423co2     Co  481   2.007   3.098  42.329    0
 3423co2     Oc  482   1.916   3.076  42.403    0
 3423co2     Oc  483   2.092   3.133  42.260    0
 3424co2     Co  484   0.832   1.841  17.983    1
 3424co2     Oc  485   0.876   1.844  17.878    1
 3424co2     Oc  486   0.796   1.875  18.085    1
 3425co2     Co  487   0.991   0.218   7.379    0
 3425co2     Oc  488   1.104   0.217   7.355    0
 3425co2     Oc  489   0.877   0.216   7.418    0
